product_1,product_1_title,product_1_img,product_2,product_2_title,product_2_img,simple_compatible,Gemeni_compatible,reason
FSGP1124,"Ashlock 37"" Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/120596352/1/c.jpg,DBYH1941,Aquala 4-Light Dimmable Vanity Light,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/36137721/1/c.jpg,Yes,Yes,"Both pieces share a strong traditional and ornate design language. The dark bronze finish and scrolled arms of the light fixture perfectly complement the vanity's rich mahogany finish, antique hardware, and carved details."
MXYO1023,Fontanez Farmhouse Wood Bathroom Wall Mirror,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/137128467/1/c.jpg,SGRV1223,"Curiel 36"" Single Bathroom Vanity",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/292919062/1/c.jpg,Yes,Yes,"Both pieces share a strong Farmhouse design language. The vanity's slatted shelf and wood-grain finish complement the rustic, solid wood frame of the mirror. While the colors are different, the contrast between the dark brown mirror and the light whitewashed vanity is a common and effective pairing in modern farmhouse design."
SGRV1169,"Rosana 36"" Single Bathroom Vanity",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/287178139/1/c.jpg,ADRL1898,"Gracie Oaks 24"" Farmhouse Wall Cabinet, Sliding Barn Door & Adjustable Shelf",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/307460239/1/c.jpg,No,No,"Although both items are in the farmhouse style, the finishes are not complementary. The vanity has a solid, dark gray painted finish, while the wall cabinet has a light gray, weathered wood-grain finish. The hardware also clashes, with the vanity's modern silver pulls conflicting with the cabinet's rustic black barn door hardware."
ANDV4025,"Ayden Solid Bamboo Wood 47"" Tall Linen Cabinet",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/104876021/1/c.jpg,FV76266,"Haywa Hand Loomed Jute, Cotton Southwestern Rug",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/0/1/c.jpg,No,No,"The image for the rug is missing, making it impossible to determine if its specific pattern, color, and texture would complement the bamboo cabinet. When a product image is unavailable, a stylistic match cannot be confirmed."
VISQ2773,Hearts Bath Mat Graphics Bathroom Decor Bohemian Boho,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/344111252/1/c.jpg,WIYU1077,Kylann Rattan Freestanding Bathroom Cabinet with Drawer & Adjustable Shelves,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/298172736/1/c.jpg,Yes,No,"While both items are described as 'Boho', their aesthetics are conflicting. The cabinet has a sophisticated, natural, and minimalist Boho style with its light wood and rattan. The bath mat, however, is very graphic, colorful, and whimsical, which would clash with the serene and refined feel of the cabinet."
DNB10050,Usher Rustic Industrial Wood-Framed Wall Mount Barn Door Mirror with Shelf,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/89082065/1/c.jpg,EESH1023,"Cayden 36"" Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/283937690/1/c.jpg,No,Yes,"Both products share a strong rustic farmhouse aesthetic, characterized by their prominent barn door-style black metal hardware and visible wood grain textures."
UNRS6527, Rustic 8 Piece Bathroom Accessory Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/64831586/1/c.jpg,CSWY4484,"Hakana 17"" W x 72"" H x 16"" D Free-Standing Bathroom Cabinet",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/132586028/1/c.jpg,Yes,Yes,"Both pieces share a rustic/farmhouse design language. The cabinet's off-white finish and barn-door style detailing would pair well with the natural, textured look of the accessory set, creating a cohesive and intentionally designed space."
MBXS1025,Louise Bathroom Accessory Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/272083293/1/c.jpg,LVRG2687,"Areta Wall-Mounted Bathroom Organizer, Medicine Cabinet, Or Over-The-Toilet Storage With Stylish Shutter Doors And Towel Bar, White",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/299901736/1/c.jpg,No,No,"These two products represent conflicting design styles. The Louise accessory set is glamorous and modern, with its fluted glass and brushed gold accents. The Areta cabinet, with its white finish and shutter doors, is distinctly farmhouse or coastal. The combination would feel disjointed and unintentional."
FOW16611,"Render 48"" Single Sink Bathroom Vanity",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/223232087/1/c.jpg,XTBG7030,Baxton Studio Luseane Modern Japandi Cream Boucle Fabric And Walnut Brown Finished Wood 2-Piece Bar Stool Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/266275688/1/c.jpg,No,No,"While both pieces share a mid-century modern aesthetic with tapered wood legs, a bar-height stool is functionally incompatible with a standard-height bathroom vanity. The significant height difference would make the stool unusable at the sink, creating an impractical and incoherent pairing."
SUIZ6651,Art Deco Shower Curtain,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/296934180/1/c.jpg,CBOZ3506,Bathroom Art Deco Glam - Bathroom Print On Natural Pine Wood,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/259114510/1/c.jpg,No,No,"While both items are labeled 'Art Deco', their color palettes and patterns are in direct conflict. The shower curtain's cool, dark, and metallic tones clash with the art print's warm, vibrant, and multi-colored scheme. Placing these two busy, but stylistically different, patterns together would create a visually chaotic and incoherent bathroom design."
DRVQ1270,"Juniper 24"" Floating Minimalist Bathroom Sink with Concealed Drain",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/259064127/1/c.jpg,SFTA8001,Animals Funny Bathroom Decor Black and White Highland Cow Sit On Toilet Large Framed Canvas Print Wall Art,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/264677442/1/c.jpg,No,No,"While both items share a black and white color palette and rectangular shapes, their stylistic intentions are in direct conflict. The sink is a piece of serious, sleek minimalism, while the wall art is novelty humor. This creates a jarring tonal clash that undermines the sophistication of the sink, resulting in an incoherent design."
BCZX1253,Anelie 42'' Single Bathroom Vanity With Concrete Top,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/284305156/1/c.jpg,ZCBO1014,Shoji 1 -Light Dimmable LED Vanity Light,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/241070567/1/c.jpg,Yes,Yes,"Both pieces share a strong modern, geometric design language. The warm gold finish of the light fixture will complement the natural wood tone of the vanity. Mixing the gold metal of the light with the black hardware on the vanity is a common and stylish choice in contemporary design."
HBYH9933,Boho Bath II - Painting Print on Canvas,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/144294375/1/c.jpg,BCVG5150,Wood Bathroom Accessory Tray,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/236228665/1/c.jpg,Yes,Yes,"Both pieces share a rustic, eclectic aesthetic. The whitewashed, distressed wood of the tray complements the vintage-inspired elements in the painting, such as the clawfoot tub and the patterned rug. This pairing would work well in a bathroom with a modern farmhouse or boho theme."
NDPJ1766,Kaylee Sahara Boho Stain/Fade Resistant Non-Slip Machine Washable Gray/Ivory Bath Rug,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/346037719/1/c.jpg,WYRV5930,Boho Bath II,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/161320382/1/c.jpg,Yes,Yes,"Both pieces share a distinct 'Boho' style. The geometric, diamond-shaped pattern on the rug is visually similar to the rug depicted in the wall art, creating a cohesive look. The neutral color palette of the rug would complement the colorful scene in the artwork without clashing."
MECY2637,"Decorative Wall Mirror Mosaic 24"" Round Handcrafted Wall Art Colorful Glass Tile Décor For Home",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/218398774/1/c.jpg,PBYB1283,Luxton Turkish Cotton Pom Pom Rainbow Hand Towel,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/168994874/1/c.jpg,No,No,"While both items are colorful and patterned, their styles clash. The mirror's glamorous, cool-toned blue and silver mosaic is at odds with the towel's casual, multi-colored, bohemian texture. Together, they would create a visually busy and incoherent look."
AHCR1426,Faelan Summer Flower 3 Piece Bathroom Accessory Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/219567399/1/c.jpg,YTCH1222,"Brigit Free-Standing Bathroom Cabinet with Adjustable Shelf, 3 Drawers and a Niche",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/307260187/1/c.jpg,Yes,No,"The light, playful, and colorful floral design of the accessory set clashes significantly with the heavy, traditional, and dark-finished farmhouse cabinet. Their styles, color palettes, and overall moods are in direct opposition."
NRST1010,Premium Teak String Rectangle Teak and Wood Bath Mat,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/123762424/1/c.jpg,FRNY2548,"Baldwin 24"" Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/128708522/1/c.jpg,Yes,Yes,"Both products share a Mid-Century Modern aesthetic, characterized by clean lines and the use of natural wood. The warm, natural teak of the bath mat complements the rich walnut finish of the vanity, creating a cohesive and sophisticated look."
FOW16651,"Modway Render 36"" Single Bathroom Vanity Base Only",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/223235397/1/c.jpg,WLDM8232,Ayden Solid Bamboo Wood Freestanding Bathroom Cabinet,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/125714492/1/c.jpg,No,Yes,"Both pieces share a prominent slatted door design and a clean, modern rectangular form. The contrast between the white finish of the vanity and the natural bamboo of the cabinet is a common and stylish pairing in contemporary and spa-inspired bathrooms."
AHCR1159,Hovey 4 Piece Bathroom Accessory Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/131019266/1/c.jpg,SFNA1000,"Hannemarie Wall Mounted Single Bathroom Vanity with Ceramic Top, Modern Luxury Vanity with Storage, Eco-Friendly E1 for Small Bathroom, Apartment, Hotel Style",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/352355565/1/c.jpg,Yes,Yes,"Both products share a strong emphasis on textured wood. The horizontal lines on the accessory set and the vertical fluting on the vanity create a complementary, layered look. The combination of natural wood tones and neutral colors (beige stone, white ceramic) allows these pieces to blend well in a modern or organic-style bathroom."
FOW11824,"Render 36"" Bathroom Vanity",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/132812277/1/c.jpg,BCVG2238,Kowalsky Bathroom Accessory Tray,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/136064101/1/c.jpg,No,No,"The vanity is distinctly mid-century modern with its clean lines, slatted front, and tapered legs. The accessory tray, with its rustic wood finish and ornate, antique-style metal handles, belongs to a more rustic or traditional design language. The two styles are in direct conflict."
SFNA1084,"Motohisa 30"" Striped Walnut Single Bathroom Vanity with Ceramic Top, Modern Wood Vanity with 2-Door Storage for Master Bathroom, Apartment & Hotel Style",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/361167805/1/c.jpg,CXVA1460,"Bonnita 26"" Wide Mid Century Upholstered Accent Chair with an Extra Pillow",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/341892131/1/c.jpg,No,Yes,"Both pieces share a distinct Mid-Century Modern aesthetic, most notably in their tapered, splayed wooden legs. The dark, fluted wood of the vanity and the natural wood frame of the chair are complementary materials that create a cohesive and sophisticated pairing."
FOW12702,"Modway Ledger 36"" Bathroom Vanity",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/221811997/1/c.jpg,AXEN1369,Mid-Century Modern Coffee Table with Storage and Slatted Sliding Doors,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/339973453/1/c.jpg,No,No,"While both pieces share a mid-century modern aesthetic with slatted wood details, a coffee table is not a functional or appropriate piece of furniture for a bathroom."
KFBM2150,Hopperton Floral Single Shower Curtain,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/268781442/1/c.jpg,BDJC1922,Hayler Lotion Pump,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/188342396/1/c.jpg,No,No,"While both items feature a floral theme, their styles are in direct conflict. The shower curtain is bold, abstract, and maximalist with a vibrant, multi-colored palette. In contrast, the lotion dispenser is traditional and delicate, with a muted, soft color scheme of off-white, pale yellow, and grey. The visual energy is completely mismatched, which would create a clashing and incoherent look."
HTBM1285,Tiarra 5 Piece Bathroom Hardware Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/83989244/1/c.jpg,KTEL6134,Wildon Home® Domitilla Tall 2-Door Bath Cabinet 22X28,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/295340467/1/c.jpg,Yes,No,"The hardware set has a strong rustic, industrial aesthetic with its vintage bronze finish and seeded glass. This clashes with the modern, boho-inspired design of the white cabinet, which features clean lines and slatted doors. The two styles are too divergent to create a cohesive look."
DFIE1287,"Eiffe 27.25"" W x 73"" H x 11"" D Over-The-Toilet Storage",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/89946241/1/c.jpg,ASGA2745,"Truet 54"" Double Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/4255712/1/c.jpg,No,No,"These two pieces have clashing styles. The over-the-toilet storage is modern and minimalist with its gold metal frame and glass shelves, while the vanity is a very heavy, traditional, and ornate piece with dark wood and intricate carvings. They do not share any common design elements in shape, material, or aesthetic."
ARGD8810,"Burnet 48"" Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/37561063/1/c.jpg,EBPS5366,"4.5 Gallon Vintage Metal Step On Trash Can With Lid, Rustic Farmhouse Metal Bin",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/316112709/1/c.jpg,Yes,No,"While both items draw from a French Country aesthetic with ornate details, their finishes create a stylistic clash. The vanity is elegant and polished with a smooth tan finish and marble top, whereas the trash can is explicitly rustic and distressed with a weathered black metal finish. The difference in formality would create a jarring visual in a cohesive bathroom design."
XETU1035,"Wagstaff 23.62"" W x 31.89"" H x 12.4"" D Free-Standing Bathroom Cabinet",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/120419455/1/c.jpg,BBCB1148,"Timeless Classic 64"" Double Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/156608067/1/c.jpg,No,No,"These two pieces have clashing styles, materials, and color palettes. The vanity is a very traditional, ornate piece with a dark wood finish, a dark granite top, and antique-style hardware. The corner cabinet is much simpler, almost transitional or cottage-style, with a clean white finish, beadboard doors, and modern brushed nickel knobs. They do not share a cohesive design language."
EESH1024,"Cayden 30"" Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/243936850/1/c.jpg,WLDM8232,Ayden Solid Bamboo Wood Freestanding Bathroom Cabinet,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/125714492/1/c.jpg,No,No,"These two pieces have conflicting styles. The vanity is dark, rustic farmhouse, while the bamboo cabinet is light, modern, and spa-like. The different wood tones and hardware styles would create a visually jarring and incoherent bathroom design."
FDL2091,"Cleary 32"" W x 36"" H x 8"" D Solid Wood Wall Mounted Bathroom Cabinet",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/6892319/1/c.jpg,LLML1027,Keturah Solid Wood Standard Bed,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/77733178/1/c.jpg,No,No,"Product 2 is a bed, which is a nonsensical item for a bathroom. This pairing is functionally inappropriate."
LRMI1652,Farmhouse Boho Bathroom Rugs,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/307478657/1/c.jpg,GSBR1335,Boho Natural Rattan 4-piece Bedroom Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/328899981/1/c.jpg,No,Yes,"Both products share a strong Boho design aesthetic. The natural wood and woven rattan of the furniture set would complement the vintage oriental pattern and green color of the rug, creating a layered, textural, and cohesive look."
WYRV5930,Boho Bath II,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/161320382/1/c.jpg,ANDV4024,Ayden Solid Bamboo Wood Freestanding Linen Cabinet,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/124427745/1/c.jpg,Yes,No,"The wall art has a soft, eclectic, vintage-boho aesthetic with its watercolor style, pink clawfoot tub, and ornate mirror. The bamboo cabinet, in contrast, is very modern, minimalist, and spa-like with its clean, slatted lines. The two styles are visually distinct and would create an incoherent look."
AXOA1410,"Revan 49"" H Farmhouse Bed Frame With Sliding Barn Door Storage Cabinets",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/307576174/1/c.jpg,SGRV1111,"Jillian 30"" Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/286236028/1/c.jpg,No,No,This pairing is nonsensical. Product 1 is a bed frame and does not belong in a bathroom.
RDM10010,Mcgonigal Bamboo 4 Piece Bathroom Accessory Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/98254300/1/c.jpg,SGRE4765,"48"" Novak Single Bathroom Vanity Set with Oval Undermount Sink",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/226763386/1/c.jpg,No,No,"While both items feature wood and a modern aesthetic, the wood tones clash. The light, yellow-toned bamboo of the accessory set would look mismatched against the warm, reddish-brown wood of the mid-century modern vanity."
WIYU1077,Kylann Rattan Freestanding Bathroom Cabinet with Drawer & Adjustable Shelves,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/298172736/1/c.jpg,KRTB1010,"Antonina 47.24"" Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/131608711/1/c.jpg,No,Yes,"Both pieces share a distinct Mid-Century Modern/Scandinavian design language, characterized by light-toned wood, clean lines, and tapered legs. The combination of natural wood and neutral white creates a cohesive and harmonious aesthetic."
CCHM1015,Cervantez Bath Rug,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/282770879/1/c.jpg,TTQ22238,"Capri 2 Light Bath Bar Shown In Brushed Nickel Finish With 6"" Turquoise Textured Glass",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/276907698/1/c.jpg,Yes,Yes,"Both products share a prominent turquoise color, creating an immediate visual link. The brushed nickel finish of the light fixture is a neutral that complements the grey stripes in the rug, making for a cohesive and contemporary bathroom palette."
ODAA1206,Riccio Freestanding Over The Toilet Storage Cabinet with Sliding Fluted Door Adjustable Shelf,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/288827395/1/c.jpg,FOW20321,Modway Soma 36'' Free Standing Single Bathroom Vanity with Manufactured Wood Top,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/262668252/1/c.jpg,Yes,No,"These two pieces have conflicting styles and materials. The dark gray, fluted cabinet has a contemporary feel that clashes with the light wood, rattan-fronted, mid-century modern style of the vanity. The combination of these distinct textures and the disparate color palette (dark gray, light wood, black) would create a visually busy and incoherent bathroom design."
HCHO1893,Almetter Freestanding Bathroom Cabinet with Drawers,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/330626583/1/c.jpg,UIKE1014,"Millwood Pines Large Storage Cabinet,Bathroom Storage Cabinet With 2 Adjustable Drawers & 2 Shelf",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/186099875/1/c.jpg,No,No,"While both are freestanding storage cabinets, their styles clash. Product 1 has a light gray, traditional/farmhouse aesthetic with beadboard doors and classic knobs. Product 2 is a dark oak, modern rustic piece with a prominent wood grain and contemporary hardware. The differing colors, finishes, and design details would look incoherent together in a bathroom."
