product_1,product_2,human,ai
FSGP1124,DBYH1941,Yes,Yes
MXYO1023,SGRV1223,Yes,Yes
SGRV1169,ADRL1898,No,Yes
ANDV4025,FV76266,No,No
VISQ2773,WIYU1077,Yes,No
DNB10050,EESH1023,No,Yes
UNRS6527,CSWY4484,Yes,No
MBXS1025,LVRG2687,No,No
FOW16611,XTBG7030,No,No
SUIZ6651,CBOZ3506,No,No
DRVQ1270,SFTA8001,No,No
BCZX1253,ZCBO1014,Yes,No
HBYH9933,BCVG5150,Yes,Yes
NDPJ1766,WYRV5930,Yes,Yes
MECY2637,PBYB1283,No,No
AHCR1426,YTCH1222,Yes,No
NRST1010,FRNY2548,Yes,Yes
FOW16651,WLDM8232,No,Yes
AHCR1159,SFNA1000,Yes,No
FOW11824,BCVG2238,No,No
SFNA1084,CXVA1460,No,No
FOW12702,AXEN1369,No,No
KFBM2150,BDJC1922,No,No
HTBM1285,KTEL6134,Yes,Yes
DFIE1287,ASGA2745,No,No
ARGD8810,EBPS5366,Yes,No
XETU1035,BBCB1148,No,No
EESH1024,WLDM8232,No,No
FDL2091,LLML1027,No,No
LRMI1652,GSBR1335,No,No
WYRV5930,ANDV4024,Yes,Yes
AXOA1410,SGRV1111,No,No
RDM10010,SGRE4765,No,No
WIYU1077,KRTB1010,No,Yes
CCHM1015,TTQ22238,Yes,No
ODAA1206,FOW20321,Yes,No
HCHO1893,UIKE1014,No,No
SGRV1014,YTCH1222,No,No
ARQI1016,FOW20193,No,No
KRTB1105,HYTO8378,Yes,Yes
XAQ16460,FOW11830,Yes,Yes
ARGD6818,XAMF1040,Yes,Yes
CBXY7704,FBXB1111,No,No
CCHM1110,FSHA1088,Yes,No
CKLI1391,TRGU1831,Yes,No
