product_1,product_1_title,product_1_img,product_2,product_2_title,product_2_img,simple_compatible,Gemeni_compatible,reason
DBYH4057,Tempered Glass Scalloped Edge Kitchen Serving Bowl with Bronze Metal Scroll Stand,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/71860102/1/c.jpg,CSOU1519,Tempered Glass Dinning Table Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/315105303/1/c.jpg,No,No,"The styles are highly conflicting. The serving bowl's traditional, dark bronze scrollwork stand clashes with the dining set's modern, glam aesthetic, which features bright gold legs and bold red velvet chairs. The metal finishes and overall design languages are too different to create a cohesive look."
FFRF1132,"Forno 3 Piece 30"" Kitchen Bonus Package",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/250592663/1/c.jpg,ICO11709,Hollywood Loft 8 - Person Extendable Dining Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/252821008/1/c.jpg,Yes,No,"There is a significant stylistic clash between these two sets. The Forno appliance package has a modern, professional, and industrial aesthetic with its robust stainless steel construction. In contrast, the Hollywood Loft dining set is highly ornate and glamorous, defined by mirrored surfaces, a champagne finish, and decorative details. The functional, utilitarian look of the appliances would feel jarring and out of place next to the opulent, Hollywood-regency style of the dining furniture."
VIK10067,Viking 3-Ply Black & Copper 11 Piece Cookware Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/131625040/1/c.jpg,GLLK1035,"FK-FUSION 96"" H x 103"" W x 24"" D Medium Density Fiberboard (MDF) Ready-to-Assemble Kitchen Cabinet Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/276187659/1/c.jpg,Yes,Yes,"Both products share a modern, minimalist design language. The matte black and copper of the cookware would create a striking and sophisticated contrast against the matte white, minimalist cabinets, making for a cohesive and stylish kitchen design."
AAQP1007,Dash Mixers 6 Speed 2.5 Qt. Stand Mixer,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/0/1/c.jpg,NNIT1043,"Standard Kitchen Cabinet 3 Drawer Base 12""/15""/18""/21""/24""/27""/30""/36""W x 34.5""H in White Shaker",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/257222387/1/c.jpg,Yes,Yes,"The white shaker cabinets offer a classic, neutral foundation that is highly versatile. The mint green stand mixer provides a charming, retro pop of color that works as a perfect accent piece against the white. This combination is very common in modern farmhouse and cottage-style kitchens, creating a cohesive and intentionally designed space."
GPDF2660,Arrahma Maximo 7F3891602E2A4C5E9247AC0F0989B04E,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/185401749/1/c.jpg,XTIS1054,Solid wood kitchen island,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/320226094/1/c.jpg,No,No,"The two pieces have conflicting design styles. The bedroom set is ultra-modern and glamorous with its geometric upholstered headboard and sleek white finish, while the kitchen island is traditional/vintage with its natural wood finish and classic turned legs."
UFIE1191,Teller 5 - Piece Dining Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/110774036/1/c.jpg,ROSP5529,Davisboro Dining Table,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/43681494/1/c.jpg,No,Yes,"Both products epitomize a high-glam, modern aesthetic. They share the use of bold, sculptural pedestal bases and highly polished chrome finishes, creating a cohesive and luxurious look."
EVYN2776,"Amla 47.25"" Mirrored Glass Console Table Entryway Living Sofa Table",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/332312669/1/c.jpg,CKLI1123,"DeGrailly 57"" Wide 3 Drawer Mirrored Glass Sideboard",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/327157587/1/c.jpg,Yes,Yes,"Both pieces share a distinct 'Glam' style, featuring all-over mirrored surfaces and crystalline/faux diamond inlays as a primary decorative element. Their shared use of reflective materials and geometric forms makes them a cohesive pairing."
CKLI1070,Douty 52''  Tempered Glass Dining Table Mirrored Crushed Diamond Inlay,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/198373070/1/c.jpg,ICO11881,Platine De Royale 9-piece Dining Room Set - Champagne,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/261735943/1/c.jpg,No,No,"While both products share a 'glam' aesthetic with mirrored and reflective surfaces, their core styles are in conflict. The dining table is distinctly modern and geometric, with a sleek glass top and a sculptural base. The dining set is traditional French Provincial, characterized by ornate wood carvings, classic silhouettes, and antique finishes. The two styles are too disparate to create a cohesive look."
QENZ1068,Farmhouse Kitchen Pantry Cabinet With Sliding Storage Rack And 6 Hanging Shelves For Kitchen,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/320618827/1/c.jpg,ASD10205,"Country 30"" L x 22"" W Farmhouse Kitchen Sink with Sink Caddy / Sponge Holder",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/41108121/1/c.jpg,Yes,Yes,Both products share a strong farmhouse/country design language and a primary white color. The cabinet's rustic finish and the sink's classic apron-front silhouette are hallmarks of this style and would work together to create a cohesive kitchen.
GLLK1033,"FK-URBAN 96"" H x 96"" W x 96"" D Medium Density Fiberboard (MDF) Ready-to-Assemble Kitchen Cabinet Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/276187641/1/c.jpg,CAGN1004,Caannasweis 11 Piece Aluminum Nonstick Cookware Set Pots and Pans Set Non Stick,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/225249400/1/c.jpg,Yes,Yes,"Both products share a modern, minimalist design language and a light color palette. The cookware's speckled finish and wood-look handles would add a layer of warmth and texture, complementing the sleek, high-gloss white cabinets for a cohesive Scandinavian or warm-modern aesthetic."
