product_1,product_1_title,product_1_img,product_2,product_2_title,product_2_img,simple_compatible,Gemeni_compatible,reason
DBYH4057,Tempered Glass Scalloped Edge Kitchen Serving Bowl with Bronze Metal Scroll Stand,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/71860102/1/c.jpg,CSOU1519,Tempered Glass Dinning Table Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/324872240/1/c.jpg,No,No,"The styles are conflicting. The serving bowl has a traditional, dark bronze scrollwork base, while the dining set features a modern glam aesthetic with bright, polished gold legs. The different metal finishes and overall design languages would clash."
FFRF1132,"Forno 3 Piece 30"" Kitchen Bonus Package",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/250592663/1/c.jpg,ICO11709,Hollywood Loft 8 - Person Extendable Dining Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/252821008/1/c.jpg,Yes,No,"The professional, modern, and utilitarian style of the stainless steel appliances clashes with the ornate and glamorous aesthetic of the dining set. The functional design of the appliances is at odds with the decorative, mirrored, and opulent features of the dining furniture."
VIK10067,Viking 3-Ply Black & Copper 11 Piece Cookware Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/131625040/1/c.jpg,GLLK1035,"FK-FUSION 96"" H x 103"" W x 24"" D Medium Density Fiberboard (MDF) Ready-to-Assemble Kitchen Cabinet Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/276187659/1/c.jpg,Yes,Yes,"The matte black and copper of the cookware create a sophisticated, high-contrast look against the matte white cabinets. Both items share a clean, modern aesthetic, and the warm copper accents on the pots would complement other metallic details in a contemporary kitchen, such as the brass lighting shown."
AAQP1007,Dash Mixers 6 Speed 2.5 Qt. Stand Mixer,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/16105333/1/c.jpg,NNIT1043,"Standard Kitchen Cabinet 3 Drawer Base 12""/15""/18""/21""/24""/27""/30""/36""W x 34.5""H in White Shaker",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/257222387/1/c.jpg,Yes,Yes,"The classic white shaker cabinets provide a perfect neutral backdrop for the bright yellow, retro-style mixer. The mixer acts as a fun, intentional pop of color and personality, creating a vibrant and eclectic kitchen aesthetic."
GPDF2660,Arrahma Maximo 7F3891602E2A4C5E9247AC0F0989B04E,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/185401749/1/c.jpg,XTIS1054,Solid wood kitchen island,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/320226094/1/c.jpg,No,No,"These two pieces have fundamentally different design styles. The bedroom set is modern and glamorous, with its matte white finish and geometric upholstered headboard. The kitchen island is traditional/vintage, characterized by its natural wood finish and classic turned-rope legs. The shared gold hardware is not enough to bridge this stylistic gap, and they would look incoherent in the same space."
UFIE1191,Teller 5 - Piece Dining Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/110774036/1/c.jpg,ROSP5529,Davisboro Dining Table,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/43681494/1/c.jpg,No,Yes,"The black velvet chairs from the Teller set would pair beautifully with the Davisboro table. The black upholstery complements the black tabletop, and the silver finish on the chair legs matches the table's polished silver base. Both pieces share a bold, glamorous aesthetic."
EVYN2776,"Amla 47.25"" Mirrored Glass Console Table Entryway Living Sofa Table",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/346310966/1/c.jpg,CKLI1123,"DeGrailly 57"" Wide 3 Drawer Mirrored Glass Sideboard",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/327157587/1/c.jpg,Yes,Yes,"Both pieces share a distinct glam style, characterized by all-over mirrored surfaces and sparkling crushed diamond/crystal inlays. They are a perfect match for a cohesive, luxurious room design."
CKLI1070,Douty 52''  Tempered Glass Dining Table Mirrored Crushed Diamond Inlay,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/198373070/1/c.jpg,ICO11881,Platine De Royale 9-piece Dining Room Set - Champagne,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/261735943/1/c.jpg,No,No,"While both pieces share a 'glam' aesthetic with mirrored accents, their core styles are in direct conflict. The table's clean, modern, and sculptural form clashes with the ornate, carved, and traditional French Provincial style of the dining set."
QENZ1068,Farmhouse Kitchen Pantry Cabinet With Sliding Storage Rack And 6 Hanging Shelves For Kitchen,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/362352144/1/c.jpg,ASD10205,"Country 30"" L x 22"" W Farmhouse Kitchen Sink with Sink Caddy / Sponge Holder",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/0/1/c.jpg,Yes,Yes,"Both products are explicitly designed for a farmhouse/country aesthetic. The off-white color of the cabinet is a perfect match for the sink's 'Bisque' finish, creating a cohesive and charming rustic look."
GLLK1033,"FK-URBAN 96"" H x 96"" W x 96"" D Medium Density Fiberboard (MDF) Ready-to-Assemble Kitchen Cabinet Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/276187641/1/c.jpg,CAGN1004,Caannasweis 11 Piece Aluminum Nonstick Cookware Set Pots and Pans Set Non Stick,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/225249400/1/c.jpg,Yes,Yes,"The cookware's light, speckled finish and wood-grain handles would beautifully complement the modern, neutral palette of the kitchen. Both products share a clean, contemporary aesthetic, and the wood accents on the pots and pans echo the wood elements in the kitchen scene, creating a cohesive and stylish look."
